wavenumber (1/cm),cross section (cm^2)
10296.000,2.757E-24
10297.000,2.761E-24
10298.000,2.766E-24
10299.000,2.774E-24
10300.000,2.783E-24
10301.000,2.791E-24
10302.000,2.824E-24
10303.000,2.858E-24
10304.000,2.891E-24
10305.000,2.965E-24
10306.000,3.039E-24
10307.000,3.113E-24
10308.000,3.191E-24
10309.000,3.270E-24
10310.000,3.348E-24
10311.000,3.502E-24
10312.000,3.657E-24
10313.000,3.811E-24
10314.000,3.870E-24
10315.000,3.928E-24
10316.000,3.987E-24
10317.000,4.011E-24
10318.000,4.035E-24
10319.000,4.059E-24
10320.000,4.154E-24
10321.000,4.250E-24
10322.000,4.345E-24
10323.000,4.376E-24
10324.000,4.407E-24
10325.000,4.438E-24
10326.000,4.516E-24
10327.000,4.593E-24
10328.000,4.671E-24
10329.000,4.768E-24
10330.000,4.865E-24
10331.000,4.962E-24
10332.000,5.035E-24
10333.000,5.108E-24
10334.000,5.181E-24
10335.000,5.296E-24
10336.000,5.412E-24
10337.000,5.527E-24
10338.000,5.674E-24
10339.000,5.822E-24
10340.000,5.969E-24
10341.000,6.087E-24
10342.000,6.204E-24
10343.000,6.270E-24
10344.000,6.335E-24
10345.000,6.401E-24
10346.000,6.512E-24
10347.000,6.622E-24
10348.000,6.733E-24
10349.000,6.777E-24
10350.000,6.820E-24
10351.000,6.864E-24
10352.000,6.931E-24
10353.000,6.997E-24
10354.000,7.064E-24
10355.000,7.151E-24
10356.000,7.237E-24
10357.000,7.324E-24
10358.000,7.395E-24
10359.000,7.466E-24
10360.000,7.537E-24
10361.000,7.582E-24
10362.000,7.627E-24
10363.000,7.672E-24
10364.000,7.642E-24
10365.000,7.612E-24
10366.000,7.582E-24
10367.000,7.590E-24
10368.000,7.597E-24
10369.000,7.605E-24
10370.000,7.590E-24
10371.000,7.574E-24
10372.000,7.559E-24
10373.000,7.496E-24
10374.000,7.433E-24
10375.000,7.370E-24
10376.000,7.389E-24
10377.000,7.407E-24
10378.000,7.426E-24
10379.000,7.477E-24
10380.000,7.527E-24
10381.000,7.578E-24
10382.000,7.588E-24
10383.000,7.598E-24
10384.000,7.608E-24
10385.000,7.576E-24
10386.000,7.545E-24
10387.000,7.513E-24
10388.000,7.536E-24
10389.000,7.559E-24
10390.000,7.582E-24
10391.000,7.682E-24
10392.000,7.783E-24
10393.000,7.883E-24
10394.000,7.849E-24
10395.000,7.816E-24
10396.000,7.782E-24
10397.000,7.859E-24
10398.000,7.935E-24
10399.000,8.012E-24
10400.000,8.079E-24
10401.000,8.147E-24
10402.000,8.214E-24
10403.000,8.155E-24
10404.000,8.097E-24
10405.000,8.038E-24
10406.000,8.129E-24
10407.000,8.221E-24
10408.000,8.312E-24
10409.000,8.484E-24
10410.000,8.656E-24
10411.000,8.828E-24
10412.000,8.922E-24
10413.000,9.016E-24
10414.000,9.110E-24
10415.000,9.261E-24
10416.000,9.412E-24
10417.000,9.563E-24
10418.000,9.568E-24
10419.000,9.573E-24
10420.000,9.578E-24
10421.000,9.679E-24
10422.000,9.781E-24
10423.000,9.882E-24
10424.000,9.971E-24
10425.000,1.006E-23
10426.000,1.015E-23
10427.000,1.029E-23
10428.000,1.042E-23
10429.000,1.056E-23
10430.000,1.074E-23
10431.000,1.091E-23
10432.000,1.109E-23
10433.000,1.124E-23
10434.000,1.139E-23
10435.000,1.154E-23
10436.000,1.175E-23
10437.000,1.197E-23
10438.000,1.218E-23
10439.000,1.231E-23
10440.000,1.244E-23
10441.000,1.257E-23
10442.000,1.259E-23
10443.000,1.262E-23
10444.000,1.264E-23
10445.000,1.282E-23
10446.000,1.300E-23
10447.000,1.318E-23
10448.000,1.331E-23
10449.000,1.344E-23
10450.000,1.357E-23
10451.000,1.351E-23
10452.000,1.344E-23
10453.000,1.338E-23
10454.000,1.336E-23
10455.000,1.334E-23
10456.000,1.332E-23
10457.000,1.332E-23
10458.000,1.331E-23
10459.000,1.331E-23
10460.000,1.335E-23
10461.000,1.340E-23
10462.000,1.344E-23
10463.000,1.344E-23
10464.000,1.345E-23
10465.000,1.345E-23
10466.000,1.362E-23
10467.000,1.378E-23
10468.000,1.395E-23
10469.000,1.406E-23
10470.000,1.416E-23
10471.000,1.427E-23
10472.000,1.397E-23
10473.000,1.368E-23
10474.000,1.338E-23
10475.000,1.302E-23
10476.000,1.266E-23
10477.000,1.230E-23
10478.000,1.235E-23
10479.000,1.241E-23
10480.000,1.246E-23
10481.000,1.274E-23
10482.000,1.302E-23
10483.000,1.330E-23
10484.000,1.354E-23
10485.000,1.377E-23
10486.000,1.401E-23
10487.000,1.416E-23
10488.000,1.431E-23
10489.000,1.446E-23
10490.000,1.464E-23
10491.000,1.483E-23
10492.000,1.501E-23
10493.000,1.523E-23
10494.000,1.546E-23
10495.000,1.569E-23
10496.000,1.591E-23
10497.000,1.632E-23
10498.000,1.674E-23
10499.000,1.715E-23
10500.000,1.735E-23
10501.000,1.756E-23
10502.000,1.776E-23
10503.000,1.784E-23
10504.000,1.793E-23
10505.000,1.801E-23
10506.000,1.817E-23
10507.000,1.833E-23
10508.000,1.849E-23
10509.000,1.868E-23
10510.000,1.888E-23
10511.000,1.907E-23
10512.000,1.928E-23
10513.000,1.950E-23
10514.000,1.971E-23
10515.000,2.000E-23
10516.000,2.028E-23
10517.000,2.057E-23
10518.000,2.081E-23
10519.000,2.105E-23
10520.000,2.129E-23
10521.000,2.159E-23
10522.000,2.189E-23
10523.000,2.219E-23
10524.000,2.262E-23
10525.000,2.306E-23
10526.000,2.349E-23
10527.000,2.381E-23
10528.000,2.414E-23
10529.000,2.446E-23
10530.000,2.493E-23
10531.000,2.539E-23
10532.000,2.586E-23
10533.000,2.635E-23
10534.000,2.685E-23
10535.000,2.734E-23
10536.000,2.784E-23
10537.000,2.834E-23
10538.000,2.884E-23
10539.000,2.934E-23
10540.000,2.985E-23
10541.000,3.035E-23
10542.000,3.096E-23
10543.000,3.158E-23
10544.000,3.219E-23
10545.000,3.263E-23
10546.000,3.306E-23
10547.000,3.350E-23
10548.000,3.393E-23
10549.000,3.452E-23
10550.000,3.512E-23
10551.000,3.571E-23
10552.000,3.626E-23
10553.000,3.681E-23
10554.000,3.736E-23
10555.000,3.788E-23
10556.000,3.839E-23
10557.000,3.891E-23
10558.000,3.950E-23
10559.000,4.009E-23
10560.000,4.068E-23
