wavenumber[1/cm],cross section[cm^2]
857.5966502611491,3.962e-20
857.6066943752511,3.828e-20
857.6167384893531,3.683e-20
857.6267826034551,3.791e-20
857.6368267175573,3.876e-20
857.6468708316593,3.946e-20
857.6569149457613,4.233e-20
857.6669590598634,4.249e-20
857.6770031739654,3.709e-20
857.6870472880674,3.511e-20
857.6970914021695,4.023e-20
857.7071355162716,4.236e-20
857.7171796303736,3.775e-20
857.7272237444756,3.45e-20
857.7372678585778,3.562e-20
857.7473119726798,3.8e-20
857.7573560867818,4.036e-20
857.7674002008839,3.965e-20
857.7774443149859,3.487e-20
857.787488429088,3.421e-20
857.79753254319,4.046e-20
857.8075766572921,4.274e-20
857.8176207713941,3.771e-20
857.8276648854961,3.575e-20
857.8377089995982,3.885e-20
857.8477531137003,3.946e-20
857.8577972278023,3.84e-20
857.8678413419044,3.914e-20
857.8778854560064,3.735e-20
857.8879295701084,3.325e-20
857.8979736842105,3.498e-20
857.9080177983126,4.164e-20
857.9180619124146,4.4e-20
857.9281060265166,4.087e-20
857.9381501406187,3.796e-20
857.9481942547208,3.77e-20
857.9582383688228,3.97e-20
857.9682824829248,4.232e-20
857.9783265970269,4.233e-20
857.9883707111289,3.913e-20
857.998414825231,3.609e-20
858.0084589393331,3.623e-20
858.0185030534351,4.043e-20
858.0285471675371,4.543e-20
858.0385912816392,4.424e-20
858.0486353957413,3.71e-20
858.0586795098433,3.407e-20
858.0687236239453,3.865e-20
858.0787677380474,4.264e-20
858.0888118521494,4.186e-20
858.0988559662514,3.975e-20
858.1089000803536,3.798e-20
858.1189441944556,3.793e-20
858.1289883085576,4.173e-20
858.1390324226596,4.428e-20
858.1490765367618,4.034e-20
858.1591206508638,3.703e-20
858.1691647649658,4.095e-20
858.1792088790679,4.445e-20
858.1892529931699,4.14e-20
858.199297107272,3.809e-20
858.2093412213741,3.854e-20
858.2193853354761,3.936e-20
858.2294294495781,4.053e-20
858.2394735636801,4.306e-20
858.2495176777823,4.316e-20
858.2595617918843,4.094e-20
858.2696059059863,4.149e-20
858.2796500200884,4.347e-20
858.2896941341904,4.275e-20
858.2997382482924,4.216e-20
858.3097823623945,4.341e-20
858.3198264764966,4.162e-20
858.3298705905986,3.771e-20
858.3399147047006,3.875e-20
858.3499588188027,4.275e-20
858.3600029329048,4.205e-20
858.3700470470068,3.905e-20
858.3800911611089,4.076e-20
858.3901352752109,4.494e-20
858.4001793893129,4.568e-20
858.410223503415,4.361e-20
858.4202676175171,4.156e-20
858.4303117316191,4.003e-20
858.4403558457211,4.067e-20
858.4503999598232,4.469e-20
858.4604440739253,4.787e-20
858.4704881880273,4.606e-20
858.4805323021293,4.27e-20
858.4905764162314,4.312e-20
858.5006205303334,4.512e-20
858.5106646444355,4.335e-20
858.5207087585376,3.907e-20
858.5307528726396,3.774e-20
858.5407969867416,4.006e-20
858.5508411008437,4.232e-20
858.5608852149458,4.283e-20
858.5709293290478,4.282e-20
858.5809734431498,4.325e-20
858.5910175572519,4.441e-20
858.6010616713539,4.614e-20
858.611105785456,4.699e-20
858.6211498995581,4.552e-20
858.6311940136601,4.264e-20
858.6412381277621,4.058e-20
858.6512822418641,4.087e-20
858.6613263559663,4.369e-20
858.6713704700683,4.692e-20
858.6814145841703,4.727e-20
858.6914586982724,4.496e-20
858.7015028123744,4.402e-20
858.7115469264764,4.564e-20
858.7215910405786,4.658e-20
858.7316351546806,4.558e-20
858.7416792687826,4.448e-20
858.7517233828846,4.344e-20
858.7617674969867,4.24e-20
858.7718116110888,4.352e-20
858.7818557251908,4.544e-20
858.7918998392929,4.304e-20
858.8019439533949,3.833e-20
858.8119880674969,3.948e-20
858.822032181599,4.583e-20
858.8320762957011,4.83e-20
858.8421204098031,4.556e-20
858.8521645239051,4.41e-20
858.8622086380072,4.541e-20
858.8722527521093,4.662e-20
858.8822968662113,4.728e-20
858.8923409803134,4.656e-20
858.9023850944154,4.337e-20
858.9124292085174,4.212e-20
858.9224733226195,4.61e-20
858.9325174367216,4.938e-20
858.9425615508236,4.701e-20
858.9526056649256,4.351e-20
858.9626497790277,4.252e-20
858.9726938931298,4.211e-20
858.9827380072318,4.342e-20
858.9927821213338,4.802e-20
859.0028262354359,5.004e-20
859.0128703495379,4.585e-20
859.02291446364,4.215e-20
859.0329585777421,4.352e-20
859.0430026918441,4.543e-20
859.0530468059461,4.512e-20
859.0630909200482,4.497e-20
859.0731350341503,4.524e-20
859.0831791482523,4.536e-20
859.0932232623543,4.73e-20
859.1032673764564,4.978e-20
